IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.201.245,8080,8080,false,SIN,Asia Pacific,Singapore,206,17.48
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,219,15.65
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,213,14.81
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,222,13.74
34.150.29.153,443,80,false,SIN,Asia Pacific,Singapore,47,13.73
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,203,13.05
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,205,12.75
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,195,12.59
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,209,12.27
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,206,11.98
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,220,11.97
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,189,11.75
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,211,11.45
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,215,11.27
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,203,10.20
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,192,10.17
47.236.150.13,2052,2052,false,SIN,Asia Pacific,Singapore,192,10.07
47.236.168.17,2086,2086,false,SIN,Asia Pacific,Singapore,228,10.03
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,188,9.94
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,228,9.81
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,192,9.57
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,59,9.47
8.219.40.37,2086,2086,false,SIN,Asia Pacific,Singapore,58,9.34
8.219.6.150,8080,8080,false,SIN,Asia Pacific,Singapore,217,9.27
47.236.169.164,8080,8080,false,SIN,Asia Pacific,Singapore,218,9.24
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,187,8.98
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,198,8.91
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,214,8.83
47.236.102.102,8080,8080,false,SIN,Asia Pacific,Singapore,194,8.82
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,199,8.73
8.222.191.138,2095,2095,false,SIN,Asia Pacific,Singapore,216,8.65
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,200,8.62
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,214,8.33
